class_label,metric,mean,std
HP,precision,0.3491504536472198,0.02043152646315135
HP,recall,0.2687436963166196,0.010223083747618794
HP,f1,0.3035029051290025,0.01242628028226521
LOTR,precision,0.43902549253305506,0.011368101723264364
LOTR,recall,0.48799622083451377,0.02581084319386879
LOTR,f1,0.4619842801720284,0.01576469290764405
MAG,precision,0.40588494573854905,0.022219574441905216
MAG,recall,0.4802877956886385,0.018813981418180095
MAG,f1,0.43963230868019654,0.017273314083779173
PJ,precision,0.3660039147057537,0.027628350413184722
PJ,recall,0.33278165110865976,0.025081957752205186
PJ,f1,0.3479604376221024,0.02114794495809909
RPF,precision,0.33935749289609646,0.025553629838915033
RPF,recall,0.310622131437141,0.01574183659741586
RPF,f1,0.3235405444763814,0.012812407843486053
random,precision,0.45685796098807047,0.011517989294049458
random,recall,0.5110164185274609,0.021680365755623134
random,f1,0.48207236799825715,0.01012368307566972
