class_label,metric,mean,std
General Audiences,precision,0.52722569631821,0.014763118757555815
General Audiences,recall,0.5706991165958368,0.011665918933258128
General Audiences,f1,0.5479724357968891,0.01055879729262546
Teen And Up Audiences,precision,0.43264989694200384,0.015945959300065954
Teen And Up Audiences,recall,0.5902388858920251,0.00871477922558005
Teen And Up Audiences,f1,0.49913864429469623,0.011619250311379763
Mature,precision,0.6143589743589744,0.21627167758928742
Mature,recall,0.0072951074919402215,0.005701864838686263
Mature,f1,0.014287083382296973,0.010980097665394902
Explicit,precision,0.4819392685708957,0.008846401903162715
Explicit,recall,0.4139107511163999,0.020125014343963916
Explicit,f1,0.4451826909281248,0.01459763895284109
