variable,category,status,reach,collinear_pairs
vad_valence_mean,Affect Dimensions,KEEP,0.133,0
vad_arousal_std,Affect Dimensions,KEEP,0.13,0
vad_valence_std,Affect Dimensions,KEEP,0.113,0
vad_dominance_mean,Affect Dimensions,KEEP,0.105,0
vad_arousal_mean,Affect Dimensions,KEEP,0.091,0
vad_dominance_std,Affect Dimensions,KEEP,0.087,0
max_cluster_share,Clustering & Diversity,KEEP,0.116,1
semantic_range_max_dist,Coherence & Trajectory,KEEP,0.138,0
semantic_drift_start_end,Coherence & Trajectory,KEEP,0.078,0
segment_transition_variability,Coherence & Trajectory,KEEP,0.045,0
concreteness_mean,Concreteness & Imagery,KEEP,0.182,0
concreteness_std,Concreteness & Imagery,KEEP,0.126,0
emo_fear,Discrete Emotions,KEEP,0.133,0
emo_trust,Discrete Emotions,KEEP,0.133,0
emo_anticipation,Discrete Emotions,KEEP,0.129,0
emo_diversity,Discrete Emotions,KEEP,0.129,0
emo_anger,Discrete Emotions,KEEP,0.118,0
emo_sadness,Discrete Emotions,KEEP,0.117,0
emo_disgust,Discrete Emotions,KEEP,0.113,0
emo_joy,Discrete Emotions,KEEP,0.113,0
emo_surprise,Discrete Emotions,KEEP,0.104,0
sentence_length_std,Document Scale,DROP,0.191,1
PPL_unigram_win_mean,LM Entropy,KEEP,0.215,0
H_unigram_win_std_nats,LM Entropy,KEEP,0.173,0
aoa_mean,Lexical Register,KEEP,0.201,0
alpha_ratio,Lexical Richness,KEEP,0.261,0
proportion_unique_tokens,Lexical Richness,KEEP,0.143,2
oov_ratio,Lexical Richness,KEEP,0.127,0
semantic_dispersion,On-topic vs. Dispersion,KEEP,0.166,0
pos_prop_NOUN,POS Distribution,KEEP,0.239,0
pos_prop_ADP,POS Distribution,KEEP,0.221,0
pos_prop_DET,POS Distribution,KEEP,0.205,0
pos_prop_ADJ,POS Distribution,KEEP,0.197,0
pos_prop_INTJ,POS Distribution,KEEP,0.192,0
pos_prop_SCONJ,POS Distribution,KEEP,0.152,0
pos_prop_VERB,POS Distribution,KEEP,0.126,0
pos_prop_AUX,POS Distribution,KEEP,0.122,0
pos_prop_PRON,POS Distribution,KEEP,0.122,0
pos_prop_CCONJ,POS Distribution,KEEP,0.116,0
pos_prop_ADV,POS Distribution,KEEP,0.108,0
pos_prop_PART,POS Distribution,KEEP,0.1,0
quotation_rate,Punctuation Style,KEEP,0.218,0
question_rate,Punctuation Style,KEEP,0.214,0
exclamation_rate,Punctuation Style,KEEP,0.133,0
ellipsis_rate,Punctuation Style,KEEP,0.099,0
colon_rate,Punctuation Style,KEEP,0.083,0
parenthesis_rate,Punctuation Style,KEEP,0.083,0
comma_rate,Punctuation Style,KEEP,0.077,0
rix,Readability,DROP,0.268,3
coleman_liau_index,Readability,KEEP,0.249,1
smog,Readability,KEEP,0.248,1
duplicate_ngram_chr_fraction_5,Repetition,KEEP,0.185,0
top_ngram_chr_fraction_3,Repetition,KEEP,0.173,0
top_ngram_chr_fraction_4,Repetition,KEEP,0.144,0
duplicate_ngram_chr_fraction_8,Repetition,KEEP,0.128,0
top_ngram_chr_fraction_2,Repetition,KEEP,0.127,0
duplicate_line_chr_fraction,Repetition,KEEP,0.09,0
parse_tree_depth_mean,Syntactic Complexity,DROP,0.261,3
subordination_ratio,Syntactic Complexity,DROP,0.214,2
prop_complex_sentences,Syntactic Complexity,KEEP,0.217,2
coordination_ratio,Syntactic Complexity,KEEP,0.208,0
parse_tree_depth_std,Syntactic Complexity,KEEP,0.203,1
mean_dependents_per_head,Syntactic Complexity,KEEP,0.185,0
prop_adjacent_dependency_relation_std,Syntax,KEEP,0.184,0
dependency_distance_std,Syntax,KEEP,0.104,0
prop_adjacent_dependency_relation_mean,Syntax,KEEP,0.08,0
pc1_topic_strength,Topic Strength & Volume,DROP,0.128,3
semantic_volume_logdet,Topic Strength & Volume,DROP,0.117,2
syllables_per_token_std,Word Form Complexity,DROP,0.169,1
syllables_per_token_mean,Word Form Complexity,KEEP,0.181,1
token_length_std,Word Form Complexity,KEEP,0.148,0
