variable_a,variable_b,r
proportion_unique_tokens,pc1_topic_strength,0.8750444472397313
proportion_unique_tokens,semantic_volume_logdet,0.8195740700850792
syllables_per_token_mean,syllables_per_token_std,0.9200393462672808
subordination_ratio,parse_tree_depth_mean,0.8603758113141707
subordination_ratio,prop_complex_sentences,0.9115510916775609
parse_tree_depth_mean,prop_complex_sentences,0.8551499936029534
parse_tree_depth_mean,rix,0.8722107880387162
parse_tree_depth_std,sentence_length_std,0.829574718124286
smog,rix,0.8330139072344698
coleman_liau_index,rix,0.8692242490749252
pc1_topic_strength,semantic_volume_logdet,0.8644789221939306
pc1_topic_strength,max_cluster_share,0.8060336684176826
