variable_a,variable_b,r,reach_a,reach_b,recommended_keep,recommended_drop
n_unique_tokens,doc_length,0.863,0.146,0.104,n_unique_tokens,doc_length
n_unique_tokens,n_tokens,0.859,0.146,0.105,n_unique_tokens,n_tokens
n_unique_tokens,n_characters,0.891,0.146,0.105,n_unique_tokens,n_characters
n_unique_tokens,PPL_3gram_self_nats,0.994,0.145,0.145,PPL_3gram_self_nats,n_unique_tokens
token_length_mean,token_length_median,1.0,0.126,0.126,token_length_median,token_length_mean
token_length_mean,pos_prop_SYM,0.963,0.126,0.132,pos_prop_SYM,token_length_mean
token_length_mean,dependency_distance_mean,0.906,0.127,0.165,dependency_distance_mean,token_length_mean
token_length_mean,dependency_distance_std,0.962,0.126,0.169,dependency_distance_std,token_length_mean
token_length_mean,automated_readability_index,1.0,0.126,0.125,token_length_mean,automated_readability_index
token_length_mean,coleman_liau_index,1.0,0.126,0.126,token_length_mean,coleman_liau_index
token_length_mean,parse_tree_depth_mean,0.92,0.127,0.199,parse_tree_depth_mean,token_length_mean
token_length_mean,parse_tree_depth_std,0.981,0.126,0.144,parse_tree_depth_std,token_length_mean
token_length_median,pos_prop_SYM,0.963,0.126,0.132,pos_prop_SYM,token_length_median
token_length_median,dependency_distance_mean,0.906,0.127,0.165,dependency_distance_mean,token_length_median
token_length_median,dependency_distance_std,0.962,0.126,0.169,dependency_distance_std,token_length_median
token_length_median,automated_readability_index,1.0,0.126,0.125,token_length_median,automated_readability_index
token_length_median,coleman_liau_index,1.0,0.126,0.126,token_length_median,coleman_liau_index
token_length_median,parse_tree_depth_mean,0.92,0.127,0.199,parse_tree_depth_mean,token_length_median
token_length_median,parse_tree_depth_std,0.981,0.126,0.144,parse_tree_depth_std,token_length_median
syllables_per_token_mean,syllables_per_token_median,0.823,0.163,0.132,syllables_per_token_mean,syllables_per_token_median
syllables_per_token_mean,flesch_reading_ease,-0.868,0.162,0.213,flesch_reading_ease,syllables_per_token_mean
doc_length,n_tokens,0.999,0.103,0.103,n_tokens,doc_length
doc_length,n_characters,0.995,0.103,0.104,n_characters,doc_length
doc_length,n_sentences,0.971,0.103,0.115,n_sentences,doc_length
doc_length,PPL_3gram_self_nats,0.85,0.104,0.147,PPL_3gram_self_nats,doc_length
doc_length,cumulative_semantic_trajectory_length,0.826,0.104,0.086,doc_length,cumulative_semantic_trajectory_length
n_tokens,n_characters,0.993,0.104,0.104,n_characters,n_tokens
n_tokens,n_sentences,0.968,0.104,0.115,n_sentences,n_tokens
n_tokens,PPL_3gram_self_nats,0.848,0.105,0.147,PPL_3gram_self_nats,n_tokens
n_tokens,cumulative_semantic_trajectory_length,0.826,0.105,0.086,n_tokens,cumulative_semantic_trajectory_length
n_characters,n_sentences,0.953,0.104,0.115,n_sentences,n_characters
n_characters,PPL_3gram_self_nats,0.88,0.105,0.146,PPL_3gram_self_nats,n_characters
n_characters,cumulative_semantic_trajectory_length,0.823,0.106,0.086,n_characters,cumulative_semantic_trajectory_length
n_sentences,cumulative_semantic_trajectory_length,0.81,0.116,0.086,n_sentences,cumulative_semantic_trajectory_length
sentence_length_mean,sentence_length_median,0.976,0.167,0.167,sentence_length_median,sentence_length_mean
sentence_length_mean,flesch_kincaid_grade,0.866,0.168,0.213,flesch_kincaid_grade,sentence_length_mean
sentence_length_mean,gunning_fog,0.933,0.167,0.2,gunning_fog,sentence_length_mean
sentence_length_mean,rix,0.901,0.168,0.188,rix,sentence_length_mean
sentence_length_mean,subordination_ratio,0.907,0.168,0.227,subordination_ratio,sentence_length_mean
sentence_length_mean,coordination_ratio,0.903,0.168,0.205,coordination_ratio,sentence_length_mean
sentence_length_mean,clauses_per_sentence,0.885,0.168,0.257,clauses_per_sentence,sentence_length_mean
