Factor,Name,% Variance,Cumulative %,Top loadings
F1,Syntactic Complexity,7.1,7.1,emo_fear (+0.85); emo_anger (+0.82); emo_sadness (+0.80); emo_disgust (+0.77); vad_valence_std (+0.76); +5 more (see Supplementary Table)
F2,Lexical Sophistication,6.3,13.5,syllables_per_token_mean (+0.85); coleman_liau_index (+0.77); smog (+0.76); token_length_std (+0.72); aoa_mean (+0.64); +3 more (see Supplementary Table)
F3,Negative Affect,5.6,19.1,top_ngram_chr_fraction_3 (+0.72); top_ngram_chr_fraction_2 (+0.60); top_ngram_chr_fraction_4 (+0.58); alpha_ratio (-0.57); PPL_unigram_win_mean (-0.53); +8 more (see Supplementary Table)
F4,Lexical Richness,5.5,24.6,concreteness_mean (+0.82); pos_prop_AUX (-0.78); concreteness_std (+0.75); vad_arousal_std (+0.51); pos_prop_SCONJ (-0.42); +4 more (see Supplementary Table)
F5,Repetitiveness,5.2,29.8,mean_dependents_per_head (+0.81); prop_adjacent_dependency_relation_mean (-0.55); pos_prop_INTJ (+0.52); dependency_distance_std (+0.51); pos_prop_DET (-0.46); +8 more (see Supplementary Table)
F6,Concreteness,5.2,35.0,coordination_ratio (+0.95); pos_prop_CCONJ (+0.66); prop_complex_sentences (+0.52); parse_tree_depth_std (+0.48); question_rate (-0.44); +5 more (see Supplementary Table)
F7,Conversationality,5.1,40.1,proportion_unique_tokens (+0.93); max_cluster_share (+0.83); semantic_volume_logdet (+0.80); duplicate_ngram_chr_fraction_5 (-0.68); duplicate_ngram_chr_fraction_8 (-0.49)
F8,Positive Affect,4.0,44.2,emo_joy (+0.84); emo_trust (+0.65); emo_anticipation (+0.57); vad_valence_mean (+0.57); vad_valence_std (+0.48); +2 more (see Supplementary Table)
F9,Narrative Drift,3.8,47.9,semantic_range_max_dist (+0.83); semantic_drift_start_end (+0.71); semantic_dispersion (+0.64); segment_transition_variability (+0.62)
F10,Structural Variability,3.4,51.3,pos_prop_VERB (+0.69); prop_complex_sentences (+0.46); dependency_distance_std (-0.39); vad_arousal_mean (+0.38); pos_prop_PRON (+0.38); +1 more (see Supplementary Table)
