variable,primary_factor,category,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
emo_fear,F1,Discrete Emotions,0.85,,,,,,,,,
emo_anger,F1,Discrete Emotions,0.82,,,,,,,,,
emo_sadness,F1,Discrete Emotions,0.8,,,,,,,,,
emo_disgust,F1,Discrete Emotions,0.77,,,,,,,,,
vad_valence_std,F1,Affect Dimensions,0.76,,,,,,,0.48,,
emo_diversity,F1,Discrete Emotions,0.62,,,,,,,-0.46,,
vad_valence_mean,F1,Affect Dimensions,-0.58,,,,,,,0.57,,
vad_arousal_mean,F1,Affect Dimensions,0.47,,,,,,,,,0.38
vad_dominance_std,F1,Affect Dimensions,0.36,,,,,,,,,
syllables_per_token_mean,F2,Word Form Complexity,,0.85,,,,,,,,
coleman_liau_index,F2,Readability,,0.77,,,,,,,,
smog,F2,Readability,,0.76,,,,,,,,
token_length_std,F2,Word Form Complexity,,0.72,,,,,,,,
aoa_mean,F2,Lexical Register,,0.64,,,,,,,,
pos_prop_PRON,F2,POS Distribution,,-0.44,,,,,,,,0.38
top_ngram_chr_fraction_3,F3,Repetition,,,0.72,,,,,,,
top_ngram_chr_fraction_2,F3,Repetition,,,0.6,,,,,,,
top_ngram_chr_fraction_4,F3,Repetition,,,0.58,,,,,,,
alpha_ratio,F3,Lexical Richness,,,-0.57,,-0.32,,,,,
PPL_unigram_win_mean,F3,LM Entropy,,0.4,-0.53,,,,,,,
oov_ratio,F3,Lexical Richness,,,0.49,,,,,,,
H_unigram_win_std_nats,F3,LM Entropy,,,0.39,,,,,,,
duplicate_line_chr_fraction,F3,Repetition,,,0.38,,,,,,,
pos_prop_ADJ,F3,POS Distribution,,,-0.37,,,,,,,-0.34
pos_prop_ADV,F3,POS Distribution,,,-0.37,-0.31,,,,,,
concreteness_mean,F4,Concreteness & Imagery,,,,0.82,,,,,,
pos_prop_AUX,F4,POS Distribution,,,,-0.78,,,,,,
concreteness_std,F4,Concreteness & Imagery,,,,0.75,,,,,,
vad_arousal_std,F4,Affect Dimensions,0.35,,,0.51,,,,,,
pos_prop_SCONJ,F4,POS Distribution,,,,-0.42,,,,,,
pos_prop_PART,F4,POS Distribution,,,,-0.41,,,,,,
vad_dominance_mean,F4,Affect Dimensions,,,,-0.41,,,,0.37,,
mean_dependents_per_head,F5,Syntactic Complexity,,,,,0.81,,,,,
prop_adjacent_dependency_relation_mean,F5,Syntax,,,,,-0.55,,,,,
pos_prop_INTJ,F5,POS Distribution,,,,,0.52,,,,,
dependency_distance_std,F5,Syntax,,,,,0.51,0.31,,,,-0.39
pos_prop_DET,F5,POS Distribution,,,,,-0.46,,,,,
pos_prop_NOUN,F5,POS Distribution,,,,0.42,-0.46,,,,,
question_rate,F5,Punctuation Style,,,,,0.45,-0.44,,,,
pos_prop_ADP,F5,POS Distribution,,,,,-0.44,,,,,
comma_rate,F5,Punctuation Style,,,,,0.39,0.34,,,,
quotation_rate,F5,Punctuation Style,,,,,0.38,-0.31,,,,
ellipsis_rate,F5,Punctuation Style,,,,,0.31,,,,,
exclamation_rate,F5,Punctuation Style,,,,,0.31,,,,,
coordination_ratio,F6,Syntactic Complexity,,,,,,0.95,,,,
pos_prop_CCONJ,F6,POS Distribution,,,,,,0.66,,,,
prop_complex_sentences,F6,Syntactic Complexity,,,,,,0.52,,,,0.46
parse_tree_depth_std,F6,Syntactic Complexity,,0.33,,,,0.48,,,,
prop_adjacent_dependency_relation_std,F6,Syntax,,,,,,-0.42,,,,
proportion_unique_tokens,F7,Lexical Richness,,,,,,,0.93,,,
max_cluster_share,F7,Clustering & Diversity,,,,,,,0.83,,,
semantic_volume_logdet,F7,Topic Strength & Volume,,,,,,,0.8,,,
duplicate_ngram_chr_fraction_5,F7,Repetition,,,0.48,,,,-0.68,,,
duplicate_ngram_chr_fraction_8,F7,Repetition,,,0.36,,,,-0.49,,,
emo_joy,F8,Discrete Emotions,,,,,,,,0.84,,
emo_trust,F8,Discrete Emotions,,,,,,,,0.65,,
emo_anticipation,F8,Discrete Emotions,,,,,,,,0.57,,
emo_surprise,F8,Discrete Emotions,,,,,,,,,,
semantic_range_max_dist,F9,Coherence & Trajectory,,,,,,,,,0.83,
semantic_drift_start_end,F9,Coherence & Trajectory,,,,,,,,,0.71,
semantic_dispersion,F9,On-topic vs. Dispersion,,,,,,,,,0.64,
segment_transition_variability,F9,Coherence & Trajectory,,,,,,,,,0.62,
pos_prop_VERB,F10,POS Distribution,,,,,,,,,,0.69
colon_rate,F10,Punctuation Style,,,,,,,,,,
parenthesis_rate,F10,Punctuation Style,,,,,,,,,,
